NAME,STREET ADDRESS,ADDRESS Line 2,CITY,STATE,ZIP,LICENSE NUMBER,STATUS,EFFECTIVE DATE,EXPIRATION DATE,APPLICANT TYPE,HOW SELECTED,
CURALEAF MILFORD INC,240 BUCKLAND ST,,MANCHESTER,CT,06042-1604,AMHF.0008272,ACTIVE,01/22/2025,01/21/2026,Conversion,Converted from Medical Marijuana,
CURALEAF STAMFORD INC,814 E MAIN ST,,STAMFORD,CT,06902-3832,AMHF.0008256,ACTIVE,12/12/2024,12/11/2025,Conversion,Converted from Medical Marijuana,
D&B WELLNESS LLC,105 MILL PLAIN RD,,DANBURY,CT,06811-5198,AMHF.0008268,ACTIVE,04/18/2025,04/18/2026,Conversion,Converted from Medical Marijuana,
DIVINE 1 LLC,425 W Main Street,#170,Norwich,CT,06360,AMHF.0003319,ACTIVE,02/07/2025,02/06/2026,General Lottery,General Lottery,
DIVINE 1 LLC,834 Broad Street,,Meriden ,CT,06450,AMHF.0003139,ACTIVE,01/04/2025,01/03/2026,SEC Lottery,SEC Lottery,
EJ VENTURES 2 LLC,2000 COMMERCE DR,,BRIDGEPORT,CT,06605,AMHF.0008235,ACTIVE,12/28/2024,12/27/2025,Equity Joint Venture,Equity Joint Venture,
FFD CENTRAL LLC,1548 W MAIN ST,,WILLIMANTIC,CT,06226-1142,AMHF.0008248,ACTIVE,12/20/2024,12/19/2025,Conversion,Converted from Medical Marijuana,
FFD NEWINGTON LLC,2280 BERLIN TPKE,,NEWINGTON,CT,06111-3202,AMHF.0008249,ACTIVE,12/18/2024,12/17/2025,Conversion,Converted from Medical Marijuana,
"FFD PINK EJV, LLC",1212 Farmington Ave,,Bristol,CT,06010,AMHF.0008273,ACTIVE,06/12/2025,06/11/2026,Equity Joint Venture,Equity Joint Venture,
FFD WEST LLC,12 RESEARCH DR,,STAMFORD,CT,06906-1419,AMHF.0008247,ACTIVE,12/28/2024,12/27/2025,Conversion,Converted from Medical Marijuana,
LEAF CT LLC,Not Required Until Final License Application,,,,,AMHF.0004030,Provisional License,03/06/2025,05/05/2026,SEC Lottery,SEC Lottery,
Nautilus Botanicals EJV1 LLC,63 Amity Rd,,New Haven ,CT,06515,AMHF.0008282,ACTIVE,01/29/2025,01/28/2026,Equity Joint Venture,Equity Joint Venture,
NOVA RETAIL CT LLC,623 Hartford Road,,New Britian,CT,06053,AMHF.0008286,ACTIVE,01/22/2025,01/21/2026,Equity Joint Venture,Equity Joint Venture,
"PRIME WELLNESS OF CONNECTICUT, LLC",234 TALCOTTVILLE RD,,VERNON ROCKVILLE,CT,06066-4617,AMHF.0008283,ACTIVE,04/11/2025,04/10/2026,Conversion,Converted from Medical Marijuana,
SOUTHERN CT WELLNESS AND HEALING LLC,175 BOSTON POST RD,,ORANGE,CT,06477-3205,AMHF.0008277,ACTIVE,02/05/2025,02/04/2026,Conversion,Converted from Medical Marijuana,
STAMFORD DISPENSARY LLC,111 High Ridge Road ,Unit 9,Stamford ,CT,06905,AMHF.0008284,ACTIVE,09/10/2024,09/09/2025,Equity Joint Venture,Equity Joint Venture,
SWEETSPOT WEST HARTFORD LLC,2 Park Road,1st Floor,West Hartford,CT,06119,AMHF.0008269,ACTIVE,02/05/2025,02/04/2026,Equity Joint Venture,Equity Joint Venture,
THAMES VALLEY RELIEF,887 NORWICH NEW LONDON TPKE,,UNCASVILLE,CT,06382-1917,AMHF.0008251,ACTIVE,04/16/2025,04/15/2026,Conversion,Converted from Medical Marijuana,
TRULIEVE CANNABIS DISPENSARY,820 FARMINGTON AVE,,BRISTOL,CT,06010-3921,AMHF.0008263,ACTIVE,04/16/2025,04/15/2026,Conversion,Converted from Medical Marijuana,
TY'S DISPENSARY LLC,1234 Huntington Tpke,,Bridgeport,CT,06610,AMHF.0004449,ACTIVE,01/16/2025,01/15/2026,General Lottery,General Lottery,
WILLOW BROOK WELLNESS LLC,55 Nott Highway,,Ashford,CT,06278,AMHF.0008259,ACTIVE,03/21/2025,03/20/2026,Equity Joint Venture,Equity Joint Venture,
WILLOW BROOK WELLNESS LLC,1371 E MAIN ST,,MERIDEN,CT,06450-4869,AMHF.0008254,ACTIVE,12/18/2024,12/17/2025,Conversion,Converted from Medical Marijuana,
WILLOW BROOK WELLNESS LLC,98 ELM ST # C,,ENFIELD,CT,06082-3732,AMHF.0008260,ACTIVE,03/21/2025,03/20/2026,Equity Joint Venture,Equity Joint Venture,
