NAME,STREET ADDRESS,ADDRESS Line 2,CITY,STATE,ZIP,LICENSE NUMBER,STATUS,EFFECTIVE DATE,EXPIRATION DATE,APPLICANT TYPE,HOW SELECTED,
"FFDC EJV, LLC",191 Main Street,,Norwalk,CT,="06851",ACRE.0015676,ACTIVE,03/07/2025,03/06/2026,Equity Joint Venture,Equity Joint Venture,
"FFDN EJV, LLC",233 Boston Post Road,,Old Saybrook,CT,="06475",ACRE.0015677,ACTIVE,01/04/2025,01/03/2026,Equity Joint Venture,Equity Joint Venture,
FFDW EJV LLC,91 HALE RD,,MANCHESTER,CT,06042-1769,ACRE.0015647,ACTIVE,11/27/2024,11/26/2025,Equity Joint Venture,Equity Joint Venture,
"GREEN ACRES CT ONE, LLC",1 Hartford Square,,New Britain,CT,="06052",ACRE.0015689,ACTIVE,01/14/2025,01/13/2026,Equity Joint Venture,Equity Joint Venture,
"Highway 84, LLC",Not Required Until Final License Application,,,,,ACRE.0015699,PENDING,04/02/2025,05/31/2025,Equity Joint Venture,Equity Joint Venture,
"HWY 95, LLC.",493 Westchester Rd.,,Colchester,CT,="06415",ACRE.0015660,ACTIVE,03/28/2025,03/27/2026,Equity Joint Venture,Equity Joint Venture,
"Hydra East, LLC",9 Hazard Ave,,Enfield,CT,="06082",ACRE.0014886,ACTIVE,11/25/2024,11/24/2025,General Lottery,General Lottery,
"Insa CT Retail I, LLC",167 Brainard Rd,,Hartford,CT,="06114",ACRE.0015682,ACTIVE,04/04/2025,04/03/2026,Equity Joint Venture,Equity Joint Venture,
"Insa CT Retail II, LLC",222 Sargent Dr,,New Haven,CT,="06511",ACRE.0015678,ACTIVE,04/30/2025,04/29/2026,Equity Joint Venture,Equity Joint Venture,
JANANII LLC,3490 WHITNEY AVE # 108,,HAMDEN,CT,06518-1936,ACRE.0008858,ACTIVE,11/08/2024,11/07/2025,SEC Lottery,SEC Lottery,
Nutmeg Hamden JV LLC,3825 WHITNEY AVE,,HAMDEN,CT,06518-1519,ACRE.0015653,ACTIVE,10/31/2024,10/30/2025,Equity Joint Venture,Equity Joint Venture,
NUTMEG HARTFORD JV LLC,1396 Park Street,,Hartford,CT,="06106",ACRE.0015652,ACTIVE,11/17/2024,11/16/2025,Equity Joint Venture,Equity Joint Venture,
NUTMEG KILLINGLY JV LLC,1078 N MAIN ST STE 6,,KILLINGLY,CT,06241-2127,ACRE.0015655,ACTIVE,09/15/2024,09/14/2025,Equity Joint Venture,Equity Joint Venture,
NUTMEG NEW LONDON JV LLC,595 Bank Street,,New London,CT,="06320",ACRE.0015657,ACTIVE,10/23/2024,10/22/2025,Equity Joint Venture,Equity Joint Venture,
NUTMEG NORTHWEST JV LLC,53 McDermott Avenue,,Torrington ,CT,="06790",ACRE.0015662,ACTIVE,05/31/2025,05/30/2026,Equity Joint Venture,Equity Joint Venture,
NUTMEG SOUTHWEST JV LLC,3369 FAIRFIELD AVE,,BRIDGEPORT,CT,06605-3224,ACRE.0015654,ACTIVE,09/30/2024,09/29/2025,Equity Joint Venture,Equity Joint Venture,
NUTMEG WILLINGTON JV LLC,11 Phelps Way,,Willington,CT,="06279",ACRE.0015656,ACTIVE,09/15/2024,09/14/2025,Equity Joint Venture,Equity Joint Venture,
SARA'S DISPENSARY LLC,33 Berlin Road,,Cromwell,CT,="06416",ACRE.0005925,ACTIVE,01/16/2025,01/15/2026,General Lottery,General Lottery,
SFC CT LLC,895 Washington Street,,Middletown,CT,="06457",ACRE.0015659,ACTIVE,07/06/2024,07/05/2025,Equity Joint Venture,Equity Joint Venture,
SHANGRI-LA CT INC,53 INTERSTATE LN,,WATERBURY,CT,06705-2658,ACRE.0003185,ACTIVE,10/17/2024,10/16/2025,SEC Lottery,SEC Lottery,
SHANGRI-LA CT INC,430 Main Avenue,,Norwalk,CT,="06851",ACRE.0004665,ACTIVE,04/15/2025,04/14/2026,SEC Lottery,General Lottery,
SHANGRI-LA CT INC,359 NEW BRITAIN AVE UNIT 1,,PLAINVILLE,CT,06062-2013,ACRE.0003242,ACTIVE,09/24/2024,09/23/2025,SEC Lottery,General Lottery,
SHANGRI-LA DISPENSARY,75 connecticut ave,,Norwalk,CT,="06854",ACRE.0011824,ACTIVE,11/26/2024,11/25/2025,SEC Lottery,SEC Lottery,
SLAP ASH RETAIL I LLC,2607 Whitney Ave ,,Hamden ,CT,="06518",ACRE.0013138,ACTIVE,08/29/2024,08/28/2025,SEC Lottery,SEC Lottery,
SLAP ASH RETAIL II LLC,195 Albany Turnpike,,Canton,CT,="06019",ACRE.0002642,ACTIVE,07/15/2024,07/14/2025,SEC Lottery,General Lottery,
TEST RECORD,450 Columbus Blvd,,Hartford,CT,="06105",ACRE.0999999,ACTIVE,04/22/2024,04/22/2025,,General Lottery,
UMN EQUITY JOINT VENTURE LLC,157 Boston Post Rd,,North Windham,CT,="06256",ACRE.0014925,ACTIVE,10/25/2024,10/24/2025,Equity Joint Venture,Equity Joint Venture,
