Month Ending,Product Type,Retail Sales Amount,Market
July 2024,Infused Edible,700660.8,Medical
July 2024,Extract for Inhalation,493870.84,Medical
July 2024,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",569372.7,Medical
August 2024,Usable Cannabis (Flower),7985427.34,Adult-Use
August 2024,Vape Cartridge,6611035.58,Adult-Use
August 2024,Infused Edible,2719336.67,Adult-Use
August 2024,Extract for Inhalation,673485.65,Adult-Use
August 2024,Usable Cannabis (Flower),3665034.57,Medical
August 2024,Vape Cartridge,2296741.56,Medical
August 2024,Infused Edible,675237.35,Medical
August 2024,Extract for Inhalation,470652.97,Medical
August 2024,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",567008.08,Medical
September 2024,Usable Cannabis (Flower),7467867.17,Adult-Use
September 2024,Vape Cartridge,6139389.84,Adult-Use
September 2024,Infused Edible,2526200.84,Adult-Use
September 2024,Extract for Inhalation,478858.96,Adult-Use
September 2024,Usable Cannabis (Flower),3267312.94,Medical
September 2024,Vape Cartridge,2063112.77,Medical
September 2024,Infused Edible,625831.66,Medical
September 2024,Extract for Inhalation,374896.97,Medical
September 2024,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",502451.02,Medical
October 2024,Usable Cannabis (Flower),7681404.92,Adult-Use
October 2024,Vape Cartridge,6479849.91,Adult-Use
October 2024,Infused Edible,2681332.1,Adult-Use
October 2024,Extract for Inhalation,426634.34,Adult-Use
October 2024,Usable Cannabis (Flower),3151480.24,Medical
October 2024,Vape Cartridge,2076917.67,Medical
October 2024,Infused Edible,695338.47,Medical
October 2024,Extract for Inhalation,378128.43,Medical
October 2024,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",484061.65,Medical
November 2024,Usable Cannabis (Flower),7801719.07,Adult-Use
November 2024,Vape Cartridge,6468906.37,Adult-Use
November 2024,Infused Edible,2984294.23,Adult-Use
November 2024,Extract for Inhalation,377721.53,Adult-Use
November 2024,Usable Cannabis (Flower),3199740.6,Medical
November 2024,Vape Cartridge,1998815.87,Medical
November 2024,Infused Edible,747453.05,Medical
November 2024,Extract for Inhalation,374232.03,Medical
November 2024,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",455542.26,Medical
December 2024,Usable Cannabis (Flower),8116047.17,Adult-Use
December 2024,Vape Cartridge,6685014.44,Adult-Use
December 2024,Infused Edible,3233996.61,Adult-Use
December 2024,Extract for Inhalation,382259.74,Adult-Use
December 2024,Usable Cannabis (Flower),3283933.34,Medical
December 2024,Vape Cartridge,2031459.28,Medical
December 2024,Infused Edible,841195.64,Medical
December 2024,Extract for Inhalation,370020.12,Medical
December 2024,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",490820.18,Medical
January 2025,Usable Cannabis (Flower),7556863.17,Adult-Use
January 2025,Vape Cartridge,6159411.54,Adult-Use
January 2025,Infused Edible,2998891.06,Adult-Use
January 2025,Extract for Inhalation,503533.43,Adult-Use
January 2025,Usable Cannabis (Flower),3026810.74,Medical
January 2025,Vape Cartridge,1792416.01,Medical
January 2025,Infused Edible,738657.27,Medical
January 2025,Extract for Inhalation,378668.1,Medical
January 2025,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",430152.98,Medical
February 2025,Usable Cannabis (Flower),7266683.34,Adult-Use
February 2025,Vape Cartridge,5697677,Adult-Use
February 2025,Infused Edible,2798597.39,Adult-Use
February 2025,Extract for Inhalation,469145.45,Adult-Use
February 2025,Usable Cannabis (Flower),2764275.25,Medical
February 2025,Vape Cartridge,1704530,Medical
February 2025,Infused Edible,647085.34,Medical
February 2025,Extract for Inhalation,342352.87,Medical
February 2025,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",433271.05,Medical
March 2025,Usable Cannabis (Flower),7811850.3,Adult-Use
March 2025,Vape Cartridge,6316700.48,Adult-Use
March 2025,Infused Edible,2988686.64,Adult-Use
March 2025,Extract for Inhalation,585022.27,Adult-Use
March 2025,Usable Cannabis (Flower),3016172.42,Medical
March 2025,Vape Cartridge,1923577.5,Medical
March 2025,Infused Edible,725967.06,Medical
March 2025,Extract for Inhalation,412809.38,Medical
March 2025,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",466907.05,Medical
