Credential Type,License #,Status,Effective Date,Producer Name,Producer Credential,Brand Name,Recorded Date,Tetrahydrocannabinol (THC),Tetrahydrocannabinol acid (THCA),Cannabidiols (CBD),Carboxylic acids (CBDA),Other Active Ingredient (>1%),
MMBR,MMBR.0000023,ACTIVE,12/05/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14022X,8/9/2018 10:34:37 AM,29.56,43.09,.58,.91,N/A,
MMBR,MMBR.0000024,ACTIVE,12/05/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14023X,8/9/2018 10:33:52 AM,25.19,25.17,.17,47.37,N/A,
MMBR,MMBR.0000025,ACTIVE,12/09/2014,CURALEAF LLC,MMPR.0000003,GoldT20Drops,8/9/2018 10:33:08 AM,1.25%,0.45%,<0.10%,<0.10%,N/A,
MMBR,MMBR.0000026,ACTIVE,12/09/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14024X,8/9/2018 10:32:24 AM,19.96,47.91,.33,1.18,N/A,
MMBR,MMBR.0000027,ACTIVE,12/11/2014,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORALEVE B FLOWER,8/9/2018 10:31:34 AM,0.3,8.40,0.17,19.3,N/A,
MMBR,MMBR.0000028,ACTIVE,12/11/2014,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORADEN A FLOWER,8/9/2018 10:30:38 AM,0.77,23.50,0.12,0.10,N/A,
MMBR,MMBR.0000029,ACTIVE,12/11/2014,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORADEN B FLOWER,8/9/2018 10:29:34 AM,1.51,23.70,0.23,0.12,N/A,
MMBR,MMBR.0000030,ACTIVE,12/16/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14025X,8/9/2018 10:24:15 AM,14.40,55.03,<0.1,0.41,N/A,
MMBR,MMBR.0000031,ACTIVE,12/19/2014,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORALEVE B WAX 1,3/10/2015 3:31:25 PM,5.60,13.10,2.1,65.30,,
MMBR,MMBR.0000032,ACTIVE,12/19/2014,CURALEAF LLC,MMPR.0000003,Lunora T10 Drops,8/9/2018 10:23:08 AM,1.2%,.12%,<.1%,<.1%,N/A,
MMBR,MMBR.0000033,ACTIVE,12/19/2014,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORADEN B WAX 1,8/9/2018 10:22:37 AM,58.79,20.35,3.05,1.08,N/A,
MMBR,MMBR.0000034,ACTIVE,12/19/2014,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORALEVE A WAX 1,8/9/2018 10:21:26 AM,8.31,14.61,2.98,51.51,N/A,
MMBR,MMBR.0000035,ACTIVE,12/22/2014,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORALEVE B WAX 2,3/10/2015 3:36:08 PM,3.10,19.70,1.20,70.30,,
MMBR,MMBR.0000036,ACTIVE,12/23/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14026,8/9/2018 10:19:27 AM,1.19,25.69,<.1,0.12,N/A,
MMBR,MMBR.0000037,ACTIVE,12/23/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14027,8/9/2018 10:18:34 AM,0.53,13.92,<.1,<.1,N/A,
MMBR,MMBR.0000038,ACTIVE,12/23/2014,CURALEAF LLC,MMPR.0000003,T44Vape,8/9/2018 10:17:52 AM,19.2,24.67,.17,.28,N/A,
MMBR,MMBR.0000039,ACTIVE,12/30/2014,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORADEN B KIEF 1,3/10/2015 3:37:12 PM,1.32,25.24,0.38,1.13,,
MMBR,MMBR.0000040,ACTIVE,12/30/2014,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORALEVE A FLOWER,3/10/2015 3:38:21 PM,0.40,13.10,0.23,17.65,,
MMBR,MMBR.0000041,ACTIVE,12/30/2014,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORADEN B FLOWER,8/9/2018 10:16:06 AM,0.70,25.10,0.43,0.17,N/A,
MMBR,MMBR.0000042,ACTIVE,12/30/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14028,8/9/2018 10:14:48 AM,0.26,17.21,<0.1,0.12,N/A,
MMBR,MMBR.0000043,ACTIVE,12/30/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14029,8/9/2018 10:14:06 AM,0.34,25.46,<0.1,0.12,N/A,
MMBR,MMBR.0000044,ACTIVE,12/30/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14030,8/9/2018 10:13:27 AM,0.2,13.93,<0.1,<0.1,N/A,
MMBR,MMBR.0000045,ACTIVE,12/30/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14031,8/9/2018 10:12:51 AM,0.36,21.61,<0.1,0.13,N/A,
MMBR,MMBR.0000046,ACTIVE,12/30/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14032,8/9/2018 10:12:04 AM,0.59,13.77,<0.1,<0.1,N/A,
MMBR,MMBR.0000047,ACTIVE,01/02/2015,CURALEAF LLC,MMPR.0000003,Lunora Extra Strength T30 Drops,8/9/2018 10:11:19 AM,3.62%,.34%,<.10%,<.10%,N/A,
MMBR,MMBR.0000048,ACTIVE,01/02/2015,CURALEAF LLC,MMPR.0000003,T46 Vape,8/9/2018 10:10:42 AM,15.18%,35.00%,.1%,.22%,N/A,
MMBR,MMBR.0000049,ACTIVE,01/09/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORALEVE B KIEF 1,3/10/2015 3:40:30 PM,0.66,16.31,0.27,19.36,,
MMBR,MMBR.0000050,ACTIVE,01/15/2015,CURALEAF LLC,MMPR.0000003,T19 Granola,8/9/2018 10:08:38 AM,.25%,<0.1%,<0.1%,<0.1%,N/A,
MMBR,MMBR.0000051,ACTIVE,01/15/2015,CURALEAF LLC,MMPR.0000003,T21 Almond Butter,8/9/2018 10:08:06 AM,.13%,<0.1%,<0.1%,<0.1%,N/A,
MMBR,MMBR.0000052,ACTIVE,01/15/2015,CURALEAF LLC,MMPR.0000003,T23 Coconut Butter,8/9/2018 10:07:35 AM,.18%,0.1%,0.1%,0.1%,N/A,
MMBR,MMBR.0000053,ACTIVE,01/15/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL E 55 H,8/9/2018 10:07:03 AM,34,24.81,<.001,<.001,N/A,
MMBR,MMBR.0000054,ACTIVE,01/15/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL VP 68 I,8/9/2018 10:06:25 AM,58.3,11.1,<.001,<.001,N/A,
MMBR,MMBR.0000055,ACTIVE,01/16/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 19/0.2 H,8/9/2018 10:05:34 AM,.5,18.26,.10,.1,N/A,
MMBR,MMBR.0000056,ACTIVE,01/16/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 21/0.2 H,8/9/2018 10:05:02 AM,.39,20.9,<.1,.11,N/A,
MMBR,MMBR.0000057,ACTIVE,01/16/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 22/0.2 ID,8/9/2018 10:04:28 AM,.6,21.63,<.10,.12,N/A,
MMBR,MMBR.0000058,ACTIVE,01/16/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 18.5/0.2 H,8/9/2018 10:03:45 AM,.49,17.96,<.10,.10,N/A,
MMBR,MMBR.0000059,ACTIVE,01/16/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 18.2/0.2 S,8/9/2018 10:02:53 AM,1,17.21,<.1,.1,N/A,
MMBR,MMBR.0000060,ACTIVE,01/16/2015,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant15001,8/9/2018 9:55:41 AM,0.31,17.59,<0.1,0.11,N/A,
MMBR,MMBR.0000061,ACTIVE,01/16/2015,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant15002,8/9/2018 10:01:36 AM,.25,16.69,<.1,.11,N/A,
MMBR,MMBR.0000062,ACTIVE,01/16/2015,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant15003,8/9/2018 10:01:01 AM,.3,17.22,<.1,.12,N/A,
MMBR,MMBR.0000063,ACTIVE,01/16/2015,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant15004,8/9/2018 9:59:05 AM,.32,21.69,<.1,.11,N/A,
MMBR,MMBR.0000064,ACTIVE,01/16/2015,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant15005,8/9/2018 9:58:29 AM,.40,20.52,<.1,.11,N/A,
MMBR,MMBR.0000065,ACTIVE,01/16/2015,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant15006,8/9/2018 9:57:45 AM,.37,28.04,<.1,.12,N/A,
MMBR,MMBR.0000066,ACTIVE,01/20/2015,CURALEAF LLC,MMPR.0000003,T81 Indica Concentrate,8/9/2018 9:57:15 AM,19.37%,70.68%,0.13%,0.38%,N/A,
MMBR,MMBR.0000067,ACTIVE,01/22/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL VP 79 S,8/9/2018 9:56:24 AM,78.97,.39,.13,.10,N/A,
MMBR,MMBR.0000068,ACTIVE,01/22/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 21.3/0.4 ID,8/9/2018 9:54:45 AM,.56,20.82,.001,.41,N/A,
MMBR,MMBR.0000069,ACTIVE,01/22/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 12.25/0.42 H,8/9/2018 9:53:57 AM,.51,11.74,.001,.42,N/A,
MMBR,MMBR.0000070,ACTIVE,01/22/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL VP 65.47 H,8/9/2018 9:53:01 AM,65.47,<.001,.22,<.001,N/A,
MMBR,MMBR.0000071,ACTIVE,01/22/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 14.6/0 H,8/9/2018 9:52:09 AM,.54,14.11,.001,.001,N/A,
MMBR,MMBR.0000072,ACTIVE,01/22/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 14.77/0.35 H,8/9/2018 9:49:20 AM,.36,14.41,.001,.35,N/A,
MMBR,MMBR.0000073,ACTIVE,01/26/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORADEN B KIEF 1,8/9/2018 9:47:13 AM,0.74,24.8,0,0.49,N/A,
MMBR,MMBR.0000074,ACTIVE,01/26/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORADEN A KIEF 1,8/9/2018 9:46:07 AM,0.34,25.8,0.0,0.43,N/A,
MMBR,MMBR.0000075,ACTIVE,01/26/2015,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant15007,8/9/2018 9:44:58 AM,0.39,17.77,<0.1,<0.1,N/A,
MMBR,MMBR.0000076,ACTIVE,01/26/2015,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant15008,8/9/2018 9:44:21 AM,0.4,19.62,<0.1,<0.1,N/A,
MMBR,MMBR.0000077,ACTIVE,01/26/2015,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant15009X,8/9/2018 9:43:41 AM,14.85,68.73,0.13,0.24,N/A,
MMBR,MMBR.0000078,ACTIVE,01/29/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORALEVE A TINCTURE 1,8/9/2018 9:42:59 AM,0.97,0.32,0.96,1.59,N/A,
MMBR,MMBR.0000079,ACTIVE,01/29/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORADEN/FIORALEVE TINCTURE 1,8/9/2018 9:42:12 AM,1.58,0.17,0.33,0.26,N/A,
MMBR,MMBR.0000080,ACTIVE,01/29/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORADEN B TINCTURE 1,8/9/2018 9:41:28 AM,2.38,0.90,0.01,0.02,N/A,
MMBR,MMBR.0000081,ACTIVE,01/29/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORALEVE A TINCTURE 2,8/9/2018 9:40:31 AM,0.73,0.30,0.57,0.84,M/A,
MMBR,MMBR.0000082,ACTIVE,01/29/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL VP 79.94 I,8/9/2018 9:38:26 AM,78.72,1.22,.69,<.01,N/A,
MMBR,MMBR.0000083,ACTIVE,01/29/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,TOTAL FIORALEVE B TINCTURE,8/9/2018 9:37:11 AM,0.54,0.10,0.82,0.78,N/A,
MMBR,MMBR.0000084,ACTIVE,01/29/2015,CURALEAF LLC,MMPR.0000003,T20 Dutch Chocolate Cookie,8/9/2018 9:36:24 AM,0.093%,<0.010%,<0.010%,<0.010%,N/A,
MMBR,MMBR.0000085,ACTIVE,02/03/2015,CURALEAF LLC,MMPR.0000003,T15 Green Tea Meringue Cookies,8/9/2018 9:35:55 AM,0.388%,0.010%,<0.010%,<0.010%,N/A,
MMBR,MMBR.0000086,ACTIVE,02/03/2015,CURALEAF LLC,MMPR.0000003,T15 Infused Olive Oil,8/9/2018 9:35:26 AM,0.130%,<0.010%,<0.010%,<0.010%,N/A,
MMBR,MMBR.0000087,ACTIVE,02/03/2015,CURALEAF LLC,MMPR.0000003,T30 Citron Vape,8/9/2018 9:35:00 AM,14.59%,17.35%,0.11%,0.11%,N/A,
MMBR,MMBR.0000088,ACTIVE,02/03/2015,CURALEAF LLC,MMPR.0000003,T25 GOLD ORAL SYRINGE,8/9/2018 9:34:17 AM,26.385,0.058,0.232,<0.010,N/A,
MMBR,MMBR.0000089,ACTIVE,02/05/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORADEN B WAX 2,8/9/2018 9:33:22 AM,35.91,20.62,0.0,0.20,N/A,
MMBR,MMBR.0000090,ACTIVE,02/05/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 18.7 I,8/9/2018 9:31:58 AM,.425,18.356,<.01,.039,N/A,
MMBR,MMBR.0000091,ACTIVE,02/05/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 16.6 I,8/9/2018 9:30:55 AM,1.195,15.411,.011,.092,N/A,
MMBR,MMBR.0000092,ACTIVE,02/05/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL X 74.7 I,8/9/2018 9:30:00 AM,74.52,.18,.74,.1,N/A,
MMBR,MMBR.0000093,ACTIVE,02/05/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL X 78.94 S,8/9/2018 9:29:06 AM,78.854,.09,.666,.056,N/A,
MMBR,MMBR.0000094,ACTIVE,02/09/2015,CURALEAF LLC,MMPR.0000003,T76 INDICA CONCENTRATE,8/9/2018 9:28:24 AM,17.77,66.79,0.59,0.01,N/A,
MMBR,MMBR.0000095,ACTIVE,02/11/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 14.8 S,8/9/2018 9:27:42 AM,.76,14,<.1,<.1,N/A,
MMBR,MMBR.0000096,ACTIVE,02/17/2015,CURALEAF LLC,MMPR.0000003,T70 LIMONE SHATTER,8/9/2018 9:27:00 AM,23.963,51.992,0.195,0.234,N/A,
MMBR,MMBR.0000097,ACTIVE,02/17/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 21.6/0.06 S,8/9/2018 9:26:28 AM,1.02,20.6,.01,.05,N/A,
MMBR,MMBR.0000098,ACTIVE,02/17/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 19.7/0.05 H,8/9/2018 9:25:46 AM,.39,19.37,.01,.04,N/A,
MMBR,MMBR.0000099,ACTIVE,02/17/2015,ADVANCED GROW LABS LLC,MMPR.0000001,SATIVA GRANOLA BITES,8/9/2018 9:25:01 AM,0.124,<0.1,<0.1,<0.1,N/A,
MMBR,MMBR.0000100,ACTIVE,02/17/2015,ADVANCED GROW LABS LLC,MMPR.0000001,SUBLINGUAL INDICA STRIPS,8/9/2018 9:23:34 AM,10.168,0.03,0.09,0.01,N/A,
MMBR,MMBR.0000101,ACTIVE,02/17/2015,ADVANCED GROW LABS LLC,MMPR.0000001,SUBLINGUAL SATIVA STRIPS,8/9/2018 9:21:37 AM,10.531,.1,<.1,<.01,N/A,
MMBR,MMBR.0000102,ACTIVE,02/19/2015,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant15010X,8/9/2018 9:20:39 AM,30.983,25.903,0.447,0.195,N/A,
MMBR,MMBR.0000103,ACTIVE,02/20/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,CONCENTRATED OIL BLEND 1,8/9/2018 9:19:20 AM,69.77,8.18,0.01,0.12,N/A,
MMBR,MMBR.0000104,ACTIVE,02/24/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,CONCENTRATED OIL BLEND 2,8/9/2018 9:17:43 AM,79.9,4.98,0.27,0.13,N/A,
MMBR,MMBR.0000105,ACTIVE,02/24/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,CONCENTRATED OIL BLEND 2,8/9/2018 9:16:22 AM,79.90,4.98,0.27,0.13,N/A,
MMBR,MMBR.0000106,ACTIVE,02/24/2015,CURALEAF LLC,MMPR.0000003,CURAVEX T20 OROMUCOSAL SPRAY,8/9/2018 9:14:36 AM,2.096,0.251,0.018,<0.010,N/A,
MMBR,MMBR.0000107,ACTIVE,02/24/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 17.8 I,8/9/2018 9:14:08 AM,1.067,16.809,<.01,.053,N/A,
MMBR,MMBR.0000108,ACTIVE,02/24/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 21.2 S,8/9/2018 9:13:31 AM,.908,20.329,<.01,.046,N/A,
MMBR,MMBR.0000109,ACTIVE,02/24/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 17.8 H,8/9/2018 9:12:54 AM,.558,17.283,<.01,.042,N/A,
MMBR,MMBR.0000110,ACTIVE,02/26/2015,ADVANCED GROW LABS LLC,MMPR.0000001,Indica Brownie Bites 3 X 20 MG,8/9/2018 9:12:18 AM,0.20,<.01,<.01,<.01,N/A,
MMBR,MMBR.0000111,ACTIVE,02/26/2015,ADVANCED GROW LABS LLC,MMPR.0000001,SATIVA GRANOLA BITES,2/26/2015 10:07:13 AM,19.38,<.01,<.01,<.01,,
MMBR,MMBR.0000112,ACTIVE,02/27/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,FIORADEN B CONCENTRATE 1,8/9/2018 9:11:23 AM,26.64,59.11,0.0,0.32,N/A,
MMBR,MMBR.0000113,ACTIVE,02/27/2015,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant15011X,8/9/2018 9:10:19 AM,26.642,41.463,.0332,0.292,N/A,
MMBR,MMBR.0000114,ACTIVE,02/27/2015,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant15012X,8/9/2018 9:09:24 AM,11.534,68.844,<0.1,0.327,N/A,
MMBR,MMBR.0000115,ACTIVE,03/02/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 19.44 I,8/9/2018 9:08:46 AM,.9,18.543,.011,.028,N/A,
MMBR,MMBR.0000116,ACTIVE,03/02/2015,ADVANCED GROW LABS LLC,MMPR.0000001,AGL F 22.17 H,8/9/2018 9:07:29 AM,.562,21.182,.012,.058,N/A,
MMBR,MMBR.0000117,ACTIVE,03/03/2015,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant15013X,8/9/2018 9:06:35 AM,8.604,68.902,0.126,0.056,N/A,
MMBR,MMBR.0000118,ACTIVE,03/03/2015,CURALEAF LLC,MMPR.0000003,T250 Gold Vape Cartridge,8/9/2018 9:04:12 AM,24.626,.446,0.227,0.068,N/A,
MMBR,MMBR.0000119,ACTIVE,03/03/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,Fioraden B Oil 1,3/3/2015 3:21:05 PM,65.6,20.1,0.3,0.2,,
MMBR,MMBR.0000120,ACTIVE,03/04/2015,CURALEAF LLC,MMPR.0000003,T27 Citron,8/9/2018 9:00:34 AM,0.296,26.729,.012,.058,N/A,
MMBR,MMBR.0000121,ACTIVE,03/04/2015,CURALEAF LLC,MMPR.0000003,T25 Violet,3/4/2015 4:50:04 PM,.322,25.005,.010,.056,No,
MMBR,MMBR.0000122,ACTIVE,03/04/2015,CURALEAF LLC,MMPR.0000003,T18 Burnt Sienna,8/9/2018 8:59:22 AM,18.141,.393,.010,.044,N/A,
MMBR,MMBR.0000123,ACTIVE,03/04/2015,CURALEAF LLC,MMPR.0000003,T20 Limone,8/9/2018 8:58:44 AM,19.925,.748,.010,.041,N/A,
MMBR,MMBR.0000124,ACTIVE,03/05/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,Fioraleve Blend E-cig Liquid 2,8/9/2018 10:53:46 AM,9.40,1.80,4.63,6.60,N/A,
MMBR,MMBR.0000125,ACTIVE,03/11/2015,CURALEAF LLC,MMPR.0000003,T23 SHAMROCK SUGAR COOKIE,8/9/2018 8:55:53 AM,0.156,0.044,<0.010,<0.010,N/A,
MMBR,MMBR.0000126,ACTIVE,03/11/2015,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant15014X,8/9/2018 8:55:12 AM,23.32,37.08,0.32,0.23,N/A,
MMBR,MMBR.0000128,ACTIVE,03/12/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,Concentrated Oil Blend 3,8/9/2018 8:54:04 AM,44.01,2.72,0.20,0.41,N/A,
MMBR,MMBR.0000129,ACTIVE,03/12/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,Seraden Flower,8/9/2018 8:53:02 AM,0.77,26.80,0.0,0.14,N/A,
MMBR,MMBR.0000130,ACTIVE,03/12/2015,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,MMPR.0000002,Depacan Flower,8/9/2018 8:51:51 AM,0.38,20.10,0.0,0.18,N/A,
MMBR,MMBR.0000131,ACTIVE,03/12/2015,ADVANCED GROW LABS LLC,MMPR.0000001,Indicore Brownie Bites 3x20MG Edible,8/9/2018 8:50:40 AM,0.201,<.01,<.01,<.01,N/A,
MMBR,MMBR.0000132,ACTIVE,03/12/2015,ADVANCED GROW LABS LLC,MMPR.0000001,Sativum Granola Bites 3 x 20MG Edible,8/9/2018 8:50:02 AM,0.23,<.01,<.01,<.01,N/A,
MMBR,MMBR.0000133,ACTIVE,03/13/2015,ADVANCED GROW LABS LLC,MMPR.0000001,Indicol A 22,8/9/2018 8:49:05 AM,.6,21.63,<.01,.12,N/A,
